,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
362,selikhino,50.3672,137.4996,56.88,71,0,5.06,RU,1628631678
363,guapore,-28.8456,-51.8903,53.76,99,100,3.38,BR,1628631679
364,constitucion,-35.3333,-72.4167,52.0,69,0,11.99,CL,1628631679
365,wattegama,6.7989,81.4808,77.92,80,100,6.11,LK,1628631679
366,elbrus,43.2577,42.6443,59.85,82,99,2.62,RU,1628631680
367,hofn,64.2539,-15.2082,50.86,87,59,7.4,IS,1628631680
368,tapes,-30.6733,-51.3958,54.63,88,97,11.7,BR,1628631629
369,westport,41.1415,-73.3579,84.25,86,75,1.01,US,1628631680
370,plettenberg bay,-34.0527,23.3716,53.2,52,0,2.15,ZA,1628631681
371,mandali,33.7499,45.5541,94.28,19,0,11.99,IQ,1628631681
372,dong hoi,17.4833,106.6,84.34,73,100,5.21,VN,1628631682
373,berlevag,70.8578,29.0864,58.8,94,75,0.0,NO,1628631682
374,lakes entrance,-37.8811,147.981,55.18,51,91,9.44,AU,1628631634
375,presque isle,46.6811,-68.0159,83.46,68,1,9.22,US,1628631682
376,esperance,-33.8667,121.9,40.84,80,76,17.94,AU,1628631683
377,mao,39.8885,4.2658,77.56,88,20,6.91,ES,1628631446
378,corowa,-36.0333,146.3833,48.38,83,1,13.56,AU,1628631683
379,karoi,-16.8099,29.6925,55.58,40,1,8.34,ZW,1628631684
380,carbonear,47.7332,-53.2148,67.84,74,25,11.34,CA,1628631684
381,wajima,37.4,136.9,76.78,79,13,5.12,JP,1628631097
382,sur,22.5667,59.5289,87.3,57,8,11.92,OM,1628631122
383,roald,62.5833,6.1333,61.9,94,90,2.3,NO,1628631685
384,baykit,61.67,96.37,55.04,74,48,1.7,RU,1628631685
385,san nicolas,18.1725,120.5953,76.91,94,75,2.3,PH,1628631685
386,shingu,33.7333,135.9833,79.92,76,100,3.65,JP,1628631686
387,mahajanga,-15.7167,46.3167,77.02,78,40,5.75,MG,1628631619
388,helong,42.5397,128.9972,63.27,99,100,1.97,CN,1628631686
389,haines junction,60.7522,-137.5108,64.35,42,91,5.75,CA,1628631687
390,bathsheba,13.2167,-59.5167,83.01,78,20,6.91,BB,1628631687
391,linhares,-19.3911,-40.0722,68.63,79,46,5.1,BR,1628631687
392,iskateley,67.6803,53.1512,53.87,69,95,9.73,RU,1628631688
393,tomatlan,19.9333,-105.25,82.83,78,100,4.25,MX,1628631688
394,havre-saint-pierre,50.2334,-63.5986,68.36,83,40,12.66,CA,1628631123
395,bereda,43.2686,-7.5406,62.91,99,17,3.94,ES,1628631655
396,huaraz,-9.5333,-77.5333,63.0,34,11,1.61,PE,1628631689
397,dingle,10.9995,122.6711,73.89,88,100,0.87,PH,1628631090
398,nayoro,44.3506,142.4578,58.19,74,100,11.79,JP,1628631689
399,mutoko,-17.397,32.2268,49.39,85,1,2.95,ZW,1628631689
400,chaiyaphum,15.75,102.0,79.11,78,100,5.99,TH,1628631690
401,verkhnetulomskiy,68.6073,31.7962,59.13,97,100,3.98,RU,1628631690
402,ayan,56.45,138.1667,60.03,70,21,6.46,RU,1628631691
403,aviles,43.5547,-5.9248,67.93,88,75,5.75,ES,1628631691
404,malinovoye ozero,51.6753,79.7825,61.79,95,76,12.77,RU,1628631692
405,boa vista,2.8197,-60.6733,85.98,62,75,4.61,BR,1628631692
406,ambilobe,-13.2,49.05,70.27,87,96,1.39,MG,1628631692
407,lamar,33.6668,-95.5836,95.65,54,20,17.27,US,1628631693
408,sampit,-2.5333,112.95,72.0,98,34,2.48,ID,1628631693
409,aksu,41.1231,80.2644,71.42,51,39,7.61,CN,1628631693
410,tocopilla,-22.092,-70.1979,61.56,75,80,6.91,CL,1628631694
411,port hardy,50.6996,-127.4199,66.38,72,75,9.22,CA,1628631694
412,vizinga,61.0749,50.1031,49.51,85,15,4.29,RU,1628631694
413,santa cruz cabralia,-16.2781,-39.0247,73.63,73,20,8.05,BR,1628631695
414,atambua,-9.1061,124.8925,69.44,86,58,4.5,ID,1628631695
415,prince rupert,54.3161,-130.3201,59.09,88,90,6.91,CA,1628631574
416,mae sai,20.4335,99.8762,78.12,99,100,1.99,TH,1628631696
417,kosovska mitrovica,42.8833,20.8667,77.34,47,99,2.84,XK,1628631696
418,half moon bay,37.4636,-122.4286,100.58,63,1,1.01,US,1628631623
419,arecibo,18.4724,-66.7157,84.2,86,97,10.83,PR,1628631696
420,maxixe,-23.8597,35.3472,67.59,61,100,10.09,MZ,1628631697
421,mangrol,21.1167,70.1167,81.54,76,98,13.96,IN,1628631697
422,leh,34.1667,77.5833,59.52,45,95,4.07,IN,1628631698
423,labrea,-7.2586,-64.7981,90.68,29,3,2.04,BR,1628631698
424,leningradskiy,69.3833,178.4167,34.93,93,100,14.92,RU,1628631698
425,chiang kham,19.5233,100.3,78.71,97,100,1.54,TH,1628631699
426,todos santos,23.45,-110.2167,83.01,67,94,15.66,MX,1628631699
427,ozernovskiy,51.5,156.5167,55.35,74,0,3.96,RU,1628631699
428,kupang,-10.1667,123.5833,75.78,78,20,9.22,ID,1628631700
429,lodwar,3.1191,35.5973,84.69,44,79,3.91,KE,1628631700
430,worthington,40.0931,-83.018,86.99,75,75,1.01,US,1628631700
431,dryden,49.7833,-92.7503,75.49,46,20,24.16,CA,1628631701
432,yerbogachen,61.2767,108.0108,61.95,66,80,0.94,RU,1628631701
433,carmen,18.6333,-91.8333,89.64,55,20,5.75,MX,1628631663
434,boshnyakovo,49.6333,142.1667,57.9,63,3,0.87,RU,1628631701
435,strezhevoy,60.7333,77.5889,55.38,88,77,10.8,RU,1628631702
436,greytown,-29.0642,30.5928,41.25,95,23,2.57,ZA,1628631702
437,okhotsk,59.3833,143.3,60.31,68,63,3.78,RU,1628631702
438,santiago de maria,13.4833,-88.4667,83.98,72,88,4.56,SV,1628631703
439,cidreira,-30.1811,-50.2056,56.07,91,100,11.7,BR,1628631703
440,rocha,-34.4833,-54.3333,47.26,61,100,9.26,UY,1628631623
441,daro,8.5185,-9.569,68.97,99,100,2.37,GN,1628631704
442,bani,18.2833,-70.3333,87.85,57,8,14.58,DO,1628631704
443,damara,4.9608,18.7035,70.47,86,91,2.08,CF,1628631704
444,haldia,22.0605,88.1097,84.02,82,100,7.72,IN,1628631705
445,egvekinot,66.3167,-179.1667,49.19,60,100,4.88,RU,1628631705
446,garzon,2.1959,-75.6278,75.49,84,34,4.63,CO,1628631705
447,luderitz,-26.6481,15.1594,61.86,53,29,1.61,NA,1628631706
448,havoysund,70.9963,24.6622,63.48,83,100,8.16,NO,1628631706
449,macau,22.2006,113.5461,85.06,89,40,13.8,MO,1628631706
450,beringovskiy,63.05,179.3167,53.53,66,82,5.68,RU,1628631707
